"Animal","symptoms1","symptoms2","symptoms3","symptoms4","symptoms5","Dangerous","Gender","Age"
"sheep","Inability to digest","Diarrhea","Dehydration","Weight loss","Anemia","Yes","Male",1
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",25
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",4
"donkey","Gasping","coughing ","mild weakness","droopy wings","twisted neck","Yes","Female",9
"pigs","Fever","Diarrhea","Bloody droping","Abdominal discomfort","Lethargy","Yes","Male",12
"sheep","Thivk skin","Crusty","Scaly skin","Lesion","Pains","Yes","Female",4
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",1
"pigs","Fever","Diarrhea","Pot belly","Death","Loss of appettite","Yes","Male",7
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",4
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"donkey","Fetopelvic dispropotion","Uteria inertia","Fast breathing","Death","Pains","Yes","Female",17
"cattle","Inability to stand ","Diarrhea","Bottle Jaw","Pot belly","Dry Hair coat","Yes","Female",23
"sheep","Cessation of eructation","Difficulty in breathing","Depression","Anorexia","Colic","Yes","Male",9
"sheep","Swelling","Lameness","Hyperaestesia","Hock joint","Weight loss","Yes","Female",8
"fowl","Changes in outer layer skin","Swelling of eye","loss of appetite","Lethargy","Respiratory infection","Yes","Male",4
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",8
"buffaloes","Head tilt","Circling","Muscles ache","Blindness","Seizures","Yes","Female",15
"sheep","Wool is clumped","Feels stiff","Staggering","Skin Rashes","Pains","Yes","Male",1
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",7
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",22
"duck","Diarrhea with muscus","Tensemus","Watery Stool","Flatulence","Pains","Yes","Male",8
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",18
"goat","Fever","Wound lesion","Excess salivary","Difficult in walking","Pain","Yes","Female",10
"buffaloes","Lesions in the nasal cavity","Lesions on nose","Vomiting","Noisy Breathing","Lesions on nose","Yes","Female",11
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",18
"pigs","Abdominal pain","Diarrhea","Malpresentation","Shock","Anorexia","Yes","Female",1
"buffaloes","Swelling on leg","Painfull","Poor Appetite","Broken Bones","Nasal Discharge","Yes","Male",11
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",22
"horse","fever","nasal discharge","muscular stiffness","swollen lymph nodes","depression","Yes","Female",19
"sheep","Fever","Succumb","Spread of infection","Weight loss","Anorexia","Yes","Male",6
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",19
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",5
"buffaloes","Fever","Loss of  appetite","Coughing","Lameness","Swelling of joints","Yes","Female",5
"chicken","loss of appetite","diarrhea","swollen purple wattle","Swollen comb","Lameness","Yes","Female",3
"donkey","loss of appetite","lathargy","abortion","gurgling sound","Depression","Yes","Female",24
"horse","Fever","Abortion","Kidney failure","Inflammation of eye","Eye redness","Yes","Male",27
"fowl","Fever","Nasal discharge","Respiratory distress","Pox lesion","Pain","Yes","Female",1
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",11
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"sheep","Inability to stand ","Pains to Walk","Depression","Weakness","Stiffness","Yes","Female",11
"sheep","Abdominal pain","Diarrhea","Malpresentation","Shock","Anorexia","Yes","Male",10
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",1
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",8
"donkey","unable to urinate","Lightheadedness ","droopiness","rectal bleeding","swollen abdomen","Yes","Male",3
"buffaloes","Barren ewes","Abortion","Poor conformation","Hairy Fleeces","Weight loss","Yes","Male",19
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",25
"duck","Fever","Diarrhea","Vomiting","Weight loss","Dehydration","Yes","Male",8
"pigs","Fever","Diarrhea","Muscus","Weight loss","Death","Yes","Female",5
"goat","Fever","Diarrhea","Vomiting","Stomach cramps","Nausea","Yes","Male",17
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Dehydration","Yes","Female",6
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",3
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",8
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",5
"hamster","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",2
"fowl","Poor condition","Enlarged lymph nodes","Diarrhea","Weight loss","Pain","Yes","Male",7
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",11
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",4
"sheep","Abdominal pain","Diarrhea","Malpresentation","Shock","Anorexia","Yes","Male",9
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",13
"buffaloes","Swollen Belly","Dullness","Discharge","Urination","Lying down","Yes","Male",28
"sheep","Fever","Hemolytic anemia","Sweats","congestion","Jaundice","Yes","Male",6
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",21
"fowl","Loss of activity","Rough coat","loss of appetite","Weight loss","Eventually death","Yes","Female",1
"goat","Abortion on late pregancy","Stillbirth","Retained Placenda","Endomeritis","Decrease appetite","Yes","Male",3
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",7
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",26
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",27
"sheep","Inflammation ","Discomfort","Kicking at the belly","Urine infection","Pains","Yes","Female",6
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",3
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",11
"buffaloes","Lesions in the nasal cavity","Lesions on nose","Vomiting","Noisy Breathing","Lesions on nose","Yes","Female",22
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"horse","head tilt","lathargy","lathargy","urine dribbling","inability to rise","Yes","Female",21
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",24
"pigs","Unsteady Gait","Twitching","Blindness","Swelling on joints","Pains","Yes","Female",12
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",1
"buffaloes","SkinAllergy","Reduce growth","Wound","Head ache","Dizziness","Yes","Male",10
"sheep","Fever","Loss of appetite","Stumbling","Restlessness","Pains","Yes","Female",4
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",2
"hamster","Fever","Abortion","Kidney failure","Inflammation of eye","Eye redness","Yes","Male",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",5
"buffaloes","Shallow breathing","Halitosis","Coughing","Lethargy","Nasal Discharge","Yes","Male",20
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",2
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",17
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",21
"chicken","Tail Wagging","Straining","Lethargy","Weakness","Diarrhea","Yes","Male",6
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",15
"sheep","Head Shking","Discharge from ear","Scartching ear","Odor to Ear","Redness on ear","Yes","Female",6
"pigs","Swollen","Hot joints","Pustulses","Difficulty in Walk","Pains","Yes","Male",8
"buffaloes","Lepatomegaly","Splenomegaly","Vomiting","Swollen","Shaking oh head","Yes","Female",3
"horse","fever","nasal discharge","muscular stiffness","swollen lymph nodes","depression","Yes","Female",8
"pigs","Swaying","Behaviour change","Tremor","Jerky limb movements","Pains","Yes","Female",4
"chicken","Fever","Diarrhea","Swollen Abdomen","Vomiting","Difficulty in Breathing","Yes","Male",1
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",11
"duck","burning ache or pain","vomiting","loss of appetite","experiencing changes in weight"," pain and bloating","Yes","Female",4
"goat","Watering of eyes","Redness of white of the eye","Swelling of eyelid","Cornea become cloudy","Tear production","Yes","Male",9
"chicken","Dejection","Loss of Appetite","Stress","Coughing","Pains","Yes","Male",9
"duck","Fever","Diarrhea","Abdominal pain","Stiffness","Severe weekness and depression","Yes","Male",4
"goat","Swelling of udder","change in milk","Swollen","Tender to touch","Pain","Yes","Male",5
"duck","Fever","Seizures","Hydrophobia","Jaw is dropped","Shyness or aggression","Yes","Female",1
"duck","Bloody Urine","Diffculty breathing","Vomiting","Weight loss","Anorexia","Yes","Female",1
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",3
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",2
"buffaloes","Excess salivation","Diarrhea","Depression","Nasal discharge","Weakness","Yes","Female",17
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",19
"buffaloes","Lepatomegaly","Splenomegaly","Vomiting","Swollen","Shaking oh head","Yes","Female",6
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",2
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",19
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",1
"chicken","Skin infection","Secondary Infection","Coughing","Depression","Shaking oh head","Yes","Female",5
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",22
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",5
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",27
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",2
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",9
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",9
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",24
"buffaloes","Facial edema","Dyspnea","Conjuctivtis","Weakness","Pharyngitis","Yes","Male",27
"fowl","Facial edema","Loss of earing","Vomiting","Head ache","Throat and Ear pain","Yes","Female",1
"horse","Small red bumps","Pneumonia ","Septic Arthritis","Skin infection","Pain","Yes","Female",16
"pigs","Hyperexcitability","Muscular Spasms","Gums","Death","Pains","Yes","Female",9
"sheep","Emaciation","Diarrhea","Coughing","Weight loss","Death","Yes","Female",9
"buffaloes","Watering of eyes","Redness of white of the eye","Swelling of eyelid","Cornea become cloudy","Tear production","Yes","Female",19
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",2
"donkey","cough","sneeze","droopy wings","twisted neck","droopy wings","Yes","Female",27
"duck","Bleeding from other parts of the body","confusion","Nasal discharge","loss of alertness"," dizziness and fainting","Yes","Female",2
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",19
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",4
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",3
"sheep","Fever","Diarrhea","Muscus","Weight loss","Death","Yes","Male",11
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",11
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",9
"fowl","Bald patches","Hair loss","Crusty","Flaky","Red lesion from bald patches","Yes","Female",9
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",2
"duck","Excessive eye watering","Eye redness","weakness","Mucus discharge from the eye","Frequent eye Infections","Yes","Female",6
"sheep","Thivk skin","Crusty","Scaly skin","Lesion","Pains","Yes","Female",2
"sheep","Poor wool","Loss of Appetite","Lameness","Small size","Poor Body condition","Yes","Male",3
"buffaloes","Sneezing","Convulsion","Seizuers","Weight loss","Nasal Discharge","Yes","Male",13
"chicken","Enlarged Thymus","Obstructed Lungs","Lethargy","Skin rashes","Weight loss","Yes","Male",1
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",9
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",1
"buffaloes","Dyspnea","Sneezing","Coughing","Difficulty in breathing","Infection","Yes","Male",5
"pigs","Swelling","Heat","Flank","Pain","Nasal Discharge","Yes","Female",7
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"horse","Fever","Diarrhea","loss of appetite","Colic","Weakness","Yes","Female",25
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",13
"sheep","Smell of ammonia","Ulcer","Depression","Swelling","Pains","Yes","Male",1
"fowl","Fever","Diarrhea","Vomiting","Dehydration","Pain","Yes","Female",5
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",8
"cattle","Fever","Slightly Swollen","Lession on the skin","Milky Hard","Papules appear on teats anad udder","Yes","Male",15
"goat","Runny nose","Difficulty in breathing","Coughing","Weakness","Loss of appettite","Yes","Male",3
"pigs","Wool is clumped","Feels stiff","Staggering","Skin Rashes","Pains","Yes","Male",13
"duck","Fever","Seizures","Hydrophobia","Jaw is dropped","Shyness or aggression","Yes","Female",6
"horse","Ring shaped Lesion","Round patches","Dry skin","Size of lesions vary","Pain","Yes","Male",29
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",29
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",19
"pigs","Abdominal pain","Diarrhea","Malpresentation","Shock","Anorexia","Yes","Female",13
"duck","Fever","Swelling of face or leg","Poor Appetite","Depression","Pains","Yes","Female",3
"pigs","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",5
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",23
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",7
"buffaloes","Fever","Sour Throat","Mortality","Muscle aches","Abnormalities","Yes","Female",29
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"sheep","Fever","Succumb","Spread of infection","Weight loss","Anorexia","Yes","Male",4
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",2
"donkey","outstretched neck","dull ness","inappetence","noisy breathing","coughing","Yes","Female",1
"fowl","paresis","paralysis","Weakness","Stomach cramps","Diarrhea","Yes","Male",1
"buffaloes","Fever","Tiredness","Swollen kidney","Hematuria","Muscle aches","Yes","Female",14
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",8
"pigs","Fever","Diarrhea","Depression","Scratches","Weight Loss","Yes","Male",4
"fowl","Fever","Respiratory distress","Mucous discharge","Reduce feed","Weight gain","Yes","Male",1
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",7
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",7
"goat","Fever","Hemolytic anemia","Hemoglobinuria","pulmonary congestion","Jaundice","Yes","Male",12
"buffaloes","Fever","Severe headache","Vomiting","Coughing","Fatique","Yes","Male",16
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",15
"duck","Fever","Loss of  appetite","Reduce Energy","Lameness","Swelling of joints","Yes","Female",2
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",1
"hamster","Bald patches","Hair loss","Crusty","Flaky","Red lesion from bald patches","Yes","Male",1
"cattle","Fever","Pneumonia ","Stand with head droping","Weight loss","Abnormal behaviour","Yes","Male",5
"fowl","Weakness","Stiffness","Trembling","White mark on the muscle","Loss of vitamin E","Yes","Male",9
"sheep","lllthrift","Bottle jaw","Strange behaviour","Aneamia","Jaundice","Yes","Male",4
"cattle","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",13
"chicken","Pale comb","Lame","Death","Swolling of joint","Eye closed","Yes","Male",5
"buffaloes","Fever","Excession Salivation","Abnormal conformation","Ulcerated muscle","Ulcerated ear","Yes","Female",20
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"pigs","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",9
"duck","Shortness of breath.","Fatigue","chirping","loss of appetite","swollen abdomen","Yes","Female",5
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",13
"chicken","Lack of walking","Lack of flying","Roughened","Dehydration","Pains","Yes","Male",7
"pigs","Fever","Lack of coordination","Painfull to touch","Circling","Depression","Yes","Female",14
"fowl","Nosebleed ","Trauma","mild weakness","Nose picking","Dry air","Yes","Female",1
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",19
"goat","Fever","Hemolytic anemia","Hemoglobinuria","pulmonary congestion","Jaundice","Yes","Male",7
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",26
"donkey","Fetopelvic dispropotion","Uteria inertia","Fast breathing","Death","Pains","Yes","Female",19
"buffaloes","Fever","Chronic eye inflamation","Coughing","Lethargy","Neurologic abnormalities","Yes","Male",18
"chicken","Tremor of head and neck","Blindness","Kicking at the belly","Exercise in tolerance","Pains","Yes","Female",2
"sheep","Fever","Dullness","Dullness","Skin Rashes","Pains","Yes","Male",1
"cattle","Fever","Distress","Trembling","Staggering","Convulsion","Yes","Male",23
"horse","Sickness","Diarrhea","Weight loss","Nausea","Dehydration","Yes","Male",9
"chicken","Fever","Sour Throat","Mortality","Muscle aches","Abnormalities","Yes","Male",4
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"donkey","sweating","dry or tacky gums","reduced appetite","lying down","dull ness","Yes","Male",11
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",4
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",21
"pigs","Fever","Ulcer","Scabs","Discharge from eye","Pains","Yes","Female",8
"sheep","Swelling","Discomfort","Difficulty in rising","Death","Pains","Yes","Female",1
"buffaloes","Undigested in their feces","Loss of Appetite","Loss of pigment","Weakness","Bloody in feather","Yes","Male",7
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",4
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",21
"fowl","Red Tinge","Slim over the shell","Bad smell","Easily damage shell","Flaking of the Scutes","Yes","Female",3
"donkey","sweating","dry or tacky gums","reduced appetite","lying down","dull ness","Yes","Female",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",2
"pigs","Watery Diarrhea dispropotion","Sick","Corneal Ulceration","Loss of appetite","Death","Yes","Female",8
"fowl","Fever","Loss of appetite","Weakness","Weight loss","Vomitting","Yes","Female",5
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",4
"chicken","Apathy","Depression","Dilation of duodenum","Cloacal pasting","Congestion","Yes","Male",8
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",15
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",22
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",6
"pigs","Unsteady Gait","Twitching","Blindness","Swelling on joints","Pains","Yes","Female",6
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",4
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",5
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",26
"cattle","Fever","Distress","Trembling","Staggering","Convulsion","Yes","Male",22
"rabbit","Fever","Chills","Skin ulcer","Exhaustion","Swollen and painfull","Yes","Female",2
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",1
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",21
"fowl","Fever","Hemolytic anemia","Hemoglobinuria","pulmonary congestion","Jaundice","Yes","Female",4
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",26
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",18
"horse","head tilt","lathargy","lathargy","urine dribbling","inability to rise","Yes","Female",28
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",3
"cattle","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",20
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",13
"chicken","Sharp Feather","Clubbed Feather","Eye disharge","Loss of powder down","Diarrhea","Yes","Male",4
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",2
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",17
"chicken","loss of appetite","thirst","ruffled feathers","Closed eyes","Diarrhea","Yes","Female",7
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",23
"fowl","Bald patches","Hair loss","Crusty","Flaky","Red lesion from bald patches","Yes","Female",5
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",17
"donkey","weakness","decreased stool production","distended stomach","heavy breathing","restless movement","Yes","Male",29
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",25
"sheep","Swelling","Heat","Flank","Pain","Nasal Discharge","Yes","Female",7
"buffaloes","Dyspnea","Difficulty in breathing","Coughing","Lethargy","Nasal Discharge","Yes","Male",26
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",1
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",26
"duck","Excessive eye watering","Eye redness","weakness","Mucus discharge from the eye","Frequent eye Infections","Yes","Female",2
"donkey","Fetopelvic dispropotion","Uteria inertia","Fast breathing","Death","Pains","Yes","Female",33
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",22
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",3
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",6
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",1
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",6
"hamster","Animal gets uneasy","Difficulty in breathing","Difficult in respiration","Excessive production","Stamping And pedding of hind eye","Yes","Male",2
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",1
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",8
"buffaloes","Puffed_up Feather","Less Eat","Headache","Half-closed eye","Seizures","Yes","Male",22
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",10
"chicken","Fluffed Feather","Loss of appetite","Coughing","Vomiting","Snoring","Yes","Male",8
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",11
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Nasal Discharge","Yes","Male",6
"duck","difficulty swallowing","cough ","difficulty swallowing","gasping for air","extending its neck","Yes","Female",1
"duck","Fever","Difficulty breathing","Coughing","Eye and Skin change","Unable to exercise","Yes","Male",4
"buffaloes","Lethargy","Loss of appetite","Difficulty in Swallowing","Weakness","Vision Problem","Yes","Female",5
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",24
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",8
"duck","Fever","Diffulty Swallowing","Excessive drooling","Staggering","Seizures","Yes","Male",2
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",16
"buffaloes","Difficulty in feeding","Preening","Weakness","Beak overgrowth","Anemia","Yes","Female",20
"buffaloes","Lack of walking","Lack of flying","Roughened","Dehydration","Pains","Yes","Female",24
"buffaloes","Greenish-yellow nasal discharge","Lack of pigmentation","Vomiting","Lethargy","Pain on face","Yes","Male",1
"duck","Watering","No appp","Vomiting","Lethargy","Dehydration","Yes","Female",3
"fowl","Partial Paralysis","Staggering as drunk","Self Mutilation","Acting aggressive","Acting unnaturally tame","Yes","Male",8
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",4
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",8
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",7
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",8
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",20
"duck","Allergic Reaction","Poor appetite","Coughing","Weight loss","Distended chest","Yes","Male",5
"fowl","Facial edema","Loss of earing","Vomiting","Head ache","Throat and Ear pain","Yes","Female",6
"fowl","Fever","Nasal discharge","Respiratory distress","Pox lesion","Pain","Yes","Female",6
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",19
"chicken","Fever","Difficultty in Breathing","Yellow Eye","Sneezing","Diphtherictic","Yes","Male",6
"sheep","Cessation of eructation","Difficulty in breathing","Depression","Anorexia","Colic","Yes","Male",2
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",5
"fowl","Fever","Poor coat condition","Infection of the skin","Weight loss","Fatique","Yes","Female",4
